,ID,date,Acc,condition,block,trialType,foreperiod,corrAns,RT,action_trigger.rt,Response.keys,counterbalance,extFixationDuration,oneBackFP,twoBackFP,oneBacktrialType,twoBacktrialType,oneBackEffect,oneBackAcc
7,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3611,,space,external-action,1.409012933,,,,,,
8,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3319,,space,external-action,1.389477954,0.6,,go,,-0.029200000000000004,1.0
9,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3231,,space,external-action,1.387512822,1.8,0.6,go,go,-0.008799999999999975,1.0
10,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3704,,space,external-action,1.266999545,0.6,1.8,go,go,0.04730000000000001,1.0
11,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3086,,space,external-action,1.466769643,1.8,0.6,go,go,-0.06180000000000002,1.0
12,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.2,None,,,,external-action,1.62210702,1.8,1.8,go,go,,1.0
13,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3564,,space,external-action,1.360484356,1.2,1.8,no-go,go,,1.0
14,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3009,,space,external-action,1.588388692,0.6,1.2,go,no-go,-0.055499999999999994,1.0
15,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3079,,space,external-action,1.596352109,1.2,0.6,go,go,0.007000000000000006,1.0
16,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.2805,,space,external-action,1.313025846,0.6,1.2,go,go,-0.02739999999999998,1.0
17,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.2699,,space,external-action,1.507835691,0.6,0.6,go,go,-0.010600000000000054,1.0
18,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3112,,space,external-action,1.390703376,1.2,0.6,go,go,0.0413,1.0
19,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.4063,,space,external-action,1.467369773,1.2,1.2,go,go,0.09510000000000002,1.0
20,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.2786,,space,external-action,1.736466579,1.2,1.2,go,go,-0.12769999999999998,1.0
21,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3101,,space,external-action,1.373204151,1.8,1.2,go,go,0.03149999999999997,1.0
22,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3048,,space,external-action,1.564654851,0.6,1.8,go,go,-0.005299999999999971,1.0
23,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.2891,,space,external-action,1.4822545,1.2,0.6,go,go,-0.015699999999999992,1.0
24,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.306,,space,external-action,1.360801156,1.8,1.2,go,go,0.01689999999999997,1.0
25,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3402,,space,external-action,1.262615399,1.8,1.8,go,go,0.03420000000000001,1.0
26,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.2879,,space,external-action,1.28601421,0.6,1.8,go,go,-0.05230000000000001,1.0
27,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3196,,space,external-action,1.36091442,1.2,0.6,go,go,0.031700000000000006,1.0
28,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.291,,space,external-action,1.666886985,1.8,1.2,go,go,-0.028600000000000014,1.0
29,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3021,,space,external-action,1.676835907,1.8,1.8,go,go,0.011099999999999999,1.0
30,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3269,,space,external-action,1.391061442,1.2,1.8,go,go,0.024800000000000044,1.0
31,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.2889,,space,external-action,1.618282746,0.6,1.2,go,go,-0.038000000000000034,1.0
32,002,2022-07-03_16h45.13.041,0.0,external,0.0,no-go,0.6,None,0.3526,,space,external-action,1.321937014,1.2,0.6,go,go,0.06370000000000003,1.0
33,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.2685,,space,external-action,1.666257101,0.6,1.2,no-go,go,-0.08410000000000001,0.0
34,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.8,None,,,,external-action,1.30802613,1.8,0.6,go,no-go,,1.0
35,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.2925,,space,external-action,1.26415456,1.8,1.8,no-go,go,,1.0
36,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3379,,space,external-action,1.624477178,1.2,1.8,go,no-go,0.045399999999999996,1.0
37,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3614,,space,external-action,1.542987715,1.8,1.2,go,go,0.02350000000000002,1.0
38,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.4215,,space,external-action,1.665338218,1.2,1.8,go,go,0.06009999999999999,1.0
39,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,0.6,None,,,,external-action,1.629165858,1.8,1.2,go,go,,1.0
40,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.2939,,space,external-action,1.392389796,0.6,1.8,no-go,go,,1.0
41,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.2,None,,,,external-action,1.34914629,1.8,0.6,go,no-go,,1.0
42,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3073,,space,external-action,1.650881154,1.2,1.8,no-go,go,,1.0
43,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3055,,space,external-action,1.364267336,1.2,1.2,go,no-go,-0.0018000000000000238,1.0
44,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.4079,,space,external-action,1.363529432,1.2,1.2,go,go,0.10239999999999999,1.0
45,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.4033,,space,external-action,1.67020767,1.2,1.2,go,go,-0.004599999999999993,1.0
46,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3927,,space,external-action,1.357408992,0.6,1.2,go,go,-0.010599999999999998,1.0
47,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.305,,space,external-action,1.281465408,1.2,0.6,go,go,-0.0877,1.0
48,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.2466,,space,external-action,1.356316153,0.6,1.2,go,go,-0.05839999999999998,1.0
49,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3031,,space,external-action,1.564236672,1.2,0.6,go,go,0.05649999999999997,1.0
50,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.2,None,,,,external-action,1.541883052,1.2,1.2,go,go,,1.0
51,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3527,,space,external-action,1.706669561,1.2,1.2,no-go,go,,1.0
52,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.4472,,space,external-action,1.4080155,1.8,1.2,go,no-go,0.09449999999999997,1.0
53,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.479,,space,external-action,1.560540924,0.6,1.8,go,go,0.031799999999999995,1.0
54,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,0.6,None,,,,external-action,1.291389218,0.6,0.6,go,go,,1.0
55,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3039,,space,external-action,1.377828884,0.6,0.6,no-go,go,,1.0
56,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3038,,space,external-action,1.269419036,1.8,0.6,go,no-go,-9.999999999998899e-05,1.0
57,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.8,None,,,,external-action,1.468778862,1.8,1.8,go,go,,1.0
58,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3021,,space,external-action,1.66524307,1.8,1.8,no-go,go,,1.0
59,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3528,,space,external-action,1.562624217,1.2,1.8,go,no-go,0.05070000000000002,1.0
60,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3375,,space,external-action,1.578480891,0.6,1.2,go,go,-0.01529999999999998,1.0
61,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.2,None,,,,external-action,1.679409792,0.6,0.6,go,go,,1.0
62,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3744,,space,external-action,1.274832517,1.2,0.6,no-go,go,,1.0
63,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3801,,space,external-action,1.35745167,0.6,1.2,go,no-go,0.005699999999999983,1.0
64,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.2949,,space,external-action,1.285922656,0.6,0.6,go,go,-0.0852,1.0
65,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3236,,space,external-action,1.620798981,1.2,0.6,go,go,0.028700000000000003,1.0
66,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.8,None,,,,external-action,1.250198226,1.8,1.2,go,go,,1.0
67,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.2898,,space,external-action,1.457523277,1.8,1.8,no-go,go,,1.0
68,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.2,None,,,,external-action,1.697498713,0.6,1.8,go,no-go,,1.0
69,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.4023,,space,external-action,1.632744449,1.2,0.6,no-go,go,,1.0
70,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,1.8,None,,,,external-action,1.62715357,1.2,1.2,go,no-go,,1.0
71,002,2022-07-03_16h45.13.041,0.0,external,0.0,go,0.6,space,,,,external-action,1.257989408,1.8,1.2,no-go,go,,1.0
72,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.2,space,0.3049,,space,external-action,1.430515742,0.6,1.8,go,no-go,,0.0
73,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3596,,space,external-action,1.57902908,1.2,0.6,go,go,0.05469999999999997,1.0
74,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.3242,,space,external-action,1.503012088,0.6,1.2,go,go,-0.03539999999999999,1.0
75,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,1.8,space,0.2722,,space,external-action,1.674111422,1.8,0.6,go,go,-0.05199999999999999,1.0
76,002,2022-07-03_16h45.13.041,1.0,external,0.0,go,0.6,space,0.3727,,space,external-action,1.502767554,1.8,1.8,go,go,0.10049999999999998,1.0
77,002,2022-07-03_16h45.13.041,0.0,external,0.0,no-go,0.6,None,0.3333,,space,external-action,1.392336134,0.6,1.8,go,go,-0.03939999999999999,1.0
78,002,2022-07-03_16h45.13.041,1.0,external,0.0,no-go,0.6,None,,,,external-action,1.273319707,0.6,0.6,no-go,go,,0.0
