ID,foreperiod,oneBackFP,twoBackFP,RT
17,0.6,0.6,0.6,0.4473181818181819
17,0.6,0.6,1.2,0.3595375
17,0.6,0.6,1.8,0.40715
17,0.6,1.2,0.6,0.42794285714285707
17,0.6,1.2,1.2,0.40639999999999993
17,0.6,1.2,1.8,0.45308000000000004
17,0.6,1.8,0.6,0.507925
17,0.6,1.8,1.2,0.4692222222222222
17,0.6,1.8,1.8,0.4952333333333333
17,1.2,0.6,0.6,0.415
17,1.2,0.6,1.2,0.3739166666666667
17,1.2,0.6,1.8,0.3449
17,1.2,1.2,0.6,0.36541111111111113
17,1.2,1.2,1.2,0.3843272727272727
17,1.2,1.2,1.8,0.39161538461538464
17,1.2,1.8,0.6,0.39690000000000003
17,1.2,1.8,1.2,0.3808666666666667
17,1.2,1.8,1.8,0.40163333333333334
17,1.8,0.6,0.6,0.4062222222222222
17,1.8,0.6,1.2,0.3972
17,1.8,0.6,1.8,0.3972555555555556
17,1.8,1.2,0.6,0.37997142857142857
17,1.8,1.2,1.2,0.39421
17,1.8,1.2,1.8,0.40754444444444443
17,1.8,1.8,0.6,0.34248
17,1.8,1.8,1.2,0.41754444444444444
17,1.8,1.8,1.8,0.35824999999999996
28,0.6,0.6,0.6,0.39734545454545456
28,0.6,0.6,1.2,0.36147000000000007
28,0.6,0.6,1.8,0.34653999999999996
28,0.6,1.2,0.6,0.39187500000000003
28,0.6,1.2,1.2,0.3854285714285715
28,0.6,1.2,1.8,0.38224
28,0.6,1.8,0.6,0.3733625
28,0.6,1.8,1.2,0.42348181818181824
28,0.6,1.8,1.8,0.37461
28,1.2,0.6,0.6,0.3785666666666667
28,1.2,0.6,1.2,0.34421111111111113
28,1.2,0.6,1.8,0.40718
28,1.2,1.2,0.6,0.35788888888888887
28,1.2,1.2,1.2,0.38050000000000006
28,1.2,1.2,1.8,0.3592428571428572
28,1.2,1.8,0.6,0.35424000000000005
28,1.2,1.8,1.2,0.36728181818181815
28,1.2,1.8,1.8,0.36790999999999996
28,1.8,0.6,0.6,0.38318888888888886
28,1.8,0.6,1.2,0.39810000000000006
28,1.8,0.6,1.8,0.35454375
28,1.8,1.2,0.6,0.39168181818181813
28,1.8,1.2,1.2,0.35662499999999997
28,1.8,1.2,1.8,0.33975000000000005
28,1.8,1.8,0.6,0.39407777777777775
28,1.8,1.8,1.2,0.3738428571428572
28,1.8,1.8,1.8,0.36419999999999997
101,0.6,0.6,0.6,0.3227384615384616
101,0.6,0.6,1.2,0.36433
101,0.6,0.6,1.8,0.32677
101,0.6,1.2,0.6,0.347425
101,0.6,1.2,1.2,0.3609
101,0.6,1.2,1.8,0.3705769230769231
101,0.6,1.8,0.6,0.3872454545454546
101,0.6,1.8,1.2,0.42425
101,0.6,1.8,1.8,0.38251
101,1.2,0.6,0.6,0.29778999999999994
101,1.2,0.6,1.2,0.29929999999999995
101,1.2,0.6,1.8,0.3042777777777778
101,1.2,1.2,0.6,0.28248999999999996
101,1.2,1.2,1.2,0.31640000000000007
101,1.2,1.2,1.8,0.31171999999999994
101,1.2,1.8,0.6,0.32968571428571425
101,1.2,1.8,1.2,0.36161666666666664
101,1.2,1.8,1.8,0.323275
101,1.8,0.6,0.6,0.33182222222222224
101,1.8,0.6,1.2,0.3582625
101,1.8,0.6,1.8,0.2874
101,1.8,1.2,0.6,0.3208714285714286
101,1.8,1.2,1.2,0.29952
101,1.8,1.2,1.8,0.30915000000000004
101,1.8,1.8,0.6,0.32071428571428573
101,1.8,1.8,1.2,0.2981142857142857
101,1.8,1.8,1.8,0.27754999999999996
106,0.6,0.6,0.6,0.30258
106,0.6,0.6,1.2,0.3304571428571429
106,0.6,0.6,1.8,0.33570000000000005
106,0.6,1.2,0.6,0.38424444444444444
106,0.6,1.2,1.2,0.3555142857142858
106,0.6,1.2,1.8,0.33973
106,0.6,1.8,0.6,0.40202857142857135
106,0.6,1.8,1.2,0.3611454545454546
106,0.6,1.8,1.8,0.4169
106,1.2,0.6,0.6,0.33015999999999995
106,1.2,0.6,1.2,0.3642117647058824
106,1.2,0.6,1.8,0.322575
106,1.2,1.2,0.6,0.3624090909090909
106,1.2,1.2,1.2,0.36179999999999995
106,1.2,1.2,1.8,0.36035714285714293
106,1.2,1.8,0.6,0.39483333333333337
106,1.2,1.8,1.2,0.37278571428571433
106,1.2,1.8,1.8,0.33586249999999995
106,1.8,0.6,0.6,0.3468142857142857
106,1.8,0.6,1.2,0.35905714285714285
106,1.8,0.6,1.8,0.3729833333333333
106,1.8,1.2,0.6,0.35829374999999997
106,1.8,1.2,1.2,0.3411181818181818
106,1.8,1.2,1.8,0.321575
106,1.8,1.8,0.6,0.3198285714285714
106,1.8,1.8,1.2,0.33675000000000005
106,1.8,1.8,1.8,0.3473
107,0.6,0.6,0.6,0.37515
107,0.6,0.6,1.2,0.34735555555555553
107,0.6,0.6,1.8,0.35302
107,0.6,1.2,0.6,0.2823333333333333
107,0.6,1.2,1.2,0.3873999999999999
107,0.6,1.2,1.8,0.4108
107,0.6,1.8,0.6,0.43208181818181823
107,0.6,1.8,1.2,0.3589000000000001
107,0.6,1.8,1.8,0.38861666666666667
107,1.2,0.6,0.6,0.36693749999999997
107,1.2,0.6,1.2,0.3532444444444444
107,1.2,0.6,1.8,0.3137166666666667
107,1.2,1.2,0.6,0.39033749999999995
107,1.2,1.2,1.2,0.32434166666666664
107,1.2,1.2,1.8,0.36132857142857144
107,1.2,1.8,0.6,0.35991999999999996
107,1.2,1.8,1.2,0.32532857142857147
107,1.2,1.8,1.8,0.3785333333333334
107,1.8,0.6,0.6,0.38104999999999994
107,1.8,0.6,1.2,0.35428
107,1.8,0.6,1.8,0.36294000000000004
107,1.8,1.2,0.6,0.3481666666666666
107,1.8,1.2,1.2,0.3243333333333333
107,1.8,1.2,1.8,0.35452500000000003
107,1.8,1.8,0.6,0.3896777777777778
107,1.8,1.8,1.2,0.4026
107,1.8,1.8,1.8,0.3639333333333334
109,0.6,0.6,0.6,0.33759999999999996
109,0.6,0.6,1.2,0.34982499999999994
109,0.6,0.6,1.8,0.3025
109,0.6,1.2,0.6,0.4256
109,0.6,1.2,1.2,0.3740642857142856
109,0.6,1.2,1.8,0.4527571428571429
109,0.6,1.8,0.6,0.3827999999999999
109,0.6,1.8,1.2,0.35501111111111106
109,0.6,1.8,1.8,0.3748
109,1.2,0.6,0.6,0.30648888888888887
109,1.2,0.6,1.2,0.2870125
109,1.2,0.6,1.8,0.3049333333333333
109,1.2,1.2,0.6,0.30898125
109,1.2,1.2,1.2,0.3309428571428571
109,1.2,1.2,1.8,0.3225
109,1.2,1.8,0.6,0.330775
109,1.2,1.8,1.2,0.32661250000000003
109,1.2,1.8,1.8,0.2942166666666667
109,1.8,0.6,0.6,0.2989222222222222
109,1.8,0.6,1.2,0.300725
109,1.8,0.6,1.8,0.30469999999999997
